app名称,英文名称,一级分类,安装人数,软件大小,头像地址,描述,新版本截图,开发者,apk下载地址,软件短评,版本号
汽车报价大全,com.yiche.price,生活休闲,16.8万人安装,71.15MB,https://android-artworks.25pp.com/fs08/2019/05/29/10/110_2d2a61b26aaf8689a0c7737c872861d4_con_130x130.png,应用简介易车公司出品，目前为止最好用的买车应用，让你再也不用来回奔波4S店和汽车销售斗智斗勇。功能介绍1.	该选什么车？选车 – 设定购车预算、排量大小，匹配驾驶习惯、功能喜好，适合车型分分钟出现在你面前。2.	哪辆更合适？车型对比 – 谁快谁慢谁省油、谁长谁宽谁能装，各项参数一目了然。3.	怎么买划算？降价排行 – 本地第一手降价促销信息实时查看，活动·团购一个都不能少。询最底价 – 秒回真实价格，省去讨价还价烦恼。4.	哪能看现车？商家地图 – 多少钱，在哪里，附近经销商来告诉你。5.	全下来多少？购车计算器 – 全款贷款、税费保险，一键计算总价格，心中有谱砍价轻松。 贷款买车 – 贷款、车险一站式服务平台，审批更容易。6.	还能干什么？帮买车 – 论即将买车的人如何智斗汽车销售？前人的经验是你不再吃亏的法宝。,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/1/110_2e4b8e0fe3fa871b0f7a2e85a441a67b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/1/110_81fe54b4128fb661b4c86dd4a60f29b0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/4/110_473e8c149d13debc9c415c0a1ebdb188_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/8/110_3db2c75ed6f899800a79fda58a328da3_234x360.jpg']",北京易车互动广告有限公司,https://www.wandoujia.com/apps/com.yiche.price/download/dot?ch=detail_normal_dl,  每天10万条最新汽车报价信息！  , 9.6.2
天气预报,com.lu.ashionweather,生活休闲,19.7万人安装,16.54MB,https://android-artworks.25pp.com/fs08/2019/05/22/9/110_0db5c15ea72e4283667707eaf4502144_con_130x130.png,爱尚天气，精准预报未来几点几分下雨！【15日天气预报】未来15日天气，风向，温度，空气质量预报；【实时天气信息】实时获取您当前位置的天气预报和空气质量污染指数；【逐小时天气预报】轻松查阅24小时内天气变化，提早预防早晚温差过大；【空气质量预报】分小时空气质量和未来5天空气污染、PM2.5指数、AQI指数信息查询；【桌面天气】4种不同大小的桌面天气主题，打开手机即可查看天气；【气象灾害预警】异常天气情况及时提醒，帮助您及时做好防范；【语音播报天气】地方话播报天气情况，东北话，四川话，广东话等多种方言任你选。【城市汽车尾号限行】每日更新全国各个城市的汽车限行尾号，更有汽车违章查询等贴心功能；【更多功能】头条新闻资讯，娱乐八卦，体育赛事，日历，万年历，黄历，宜忌，风水，星座，运势，钓鱼，穿衣，健康养生信息等贴心功能，一应俱全。欢迎加入QQ用户交流群：556075419，为我们提出更多建议。,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/1/110_2e4b8e0fe3fa871b0f7a2e85a441a67b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/1/110_81fe54b4128fb661b4c86dd4a60f29b0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/4/110_473e8c149d13debc9c415c0a1ebdb188_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/8/110_3db2c75ed6f899800a79fda58a328da3_234x360.jpg']",北京神指飞扬科技有限公司,https://www.wandoujia.com/apps/com.lu.ashionweather/download/dot?ch=detail_normal_dl,  预报几点几分下雨  , 4.3.6
菜谱大全,cn.ecookone,生活休闲,3.2万人安装,13.16MB,https://android-artworks.25pp.com/fs08/2018/12/29/3/110_fe39e3caedc3a0eaacdb272a8100edfb_con_130x130.png,菜谱大全提供热菜菜谱，凉菜菜谱，汤煲菜谱，微波炉菜谱，糕点小吃，外国菜谱，茶酒饮品，主食等菜谱做法大全，让您足不出户，享受各种美食。 想成为能够自己动手的美食家，那么就下载看看吧！这里收集了不同菜系的美食食谱，更有烘焙西餐，绝对能快速提高你的厨艺！,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/1/110_2e4b8e0fe3fa871b0f7a2e85a441a67b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/1/110_81fe54b4128fb661b4c86dd4a60f29b0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/4/110_473e8c149d13debc9c415c0a1ebdb188_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/8/110_3db2c75ed6f899800a79fda58a328da3_234x360.jpg']",杭州魔厨科技有限公司,https://www.wandoujia.com/apps/cn.ecookone/download/dot?ch=detail_normal_dl,  精选中文菜谱，天  , 3.30.36
赶集网,com.ganji.android,生活休闲,20.8万人安装,64.2MB,https://android-artworks.25pp.com/fs08/2019/05/13/9/110_3d22de1fb84e8bbeebf2b5c1191d6877_con_130x130.png,赶集网，更专业的分类信息网！服务涵盖招聘求职、房屋买卖、车辆买卖、生活服务、同城交友等各方面的内容 ~除此之外我们还有特色群聊服务，帮你找老乡，找同行；超值积分制度，让你轻轻松松换好礼；找房子、找工作、找二手、找装修、找保姆、找老乡就来赶集网吧！  我们的承诺【招聘求职】真实靠谱，招人放心，入职安心【买房卖房】租房找房，不吃差价，透明清晰【闲置物品】随时换钱，省钱，购物有理【生活服务】家政月嫂，搬家维修，尽责贴心 【同城精彩】票务转让，婚恋交友，我最靠谱 我们的特色【群聊】找同行，找老乡，精准定位，沟通更轻松！【登录】QQ、微信、微博账号直接登录，方便快捷！ 【订阅】私人定制，专属信息，只给你想看的！ 【积分】轻松兑换，好礼抱回家！【便民】超低话费，一键充值，省钱省心！【票务】火车票、机票、电影票，轻松购，低价靠谱！联系我们微博：http://e.weibo.com/ganjiwang 客服邮箱：app@ganji.com,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/1/110_2e4b8e0fe3fa871b0f7a2e85a441a67b_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/1/110_81fe54b4128fb661b4c86dd4a60f29b0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/4/110_473e8c149d13debc9c415c0a1ebdb188_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/8/110_3db2c75ed6f899800a79fda58a328da3_234x360.jpg']",北京阳光谷地科技发展有限公司,https://www.wandoujia.com/apps/com.ganji.android/download/dot?ch=detail_normal_dl,  招聘找工作求职  , 8.20.2
现在约,com.xianzaiyue.xyz,生活休闲,1.6万人安装,25.8MB,https://android-artworks.25pp.com/fs08/2018/06/20/9/110_6d1e6476186383950727b8f407328520_con_130x130.png,【时间】60秒急速匹配！【真实】杜绝虚假，拒绝照骗！【选择】每单5人，随心挑选！【服务】有你想要的服务！千万用户的真实选择！百万服务者随时待命！附近的帅哥，一网打尽！,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/6/110_54271a91d84ad28c2d1dbf0f4f47a24d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_315986975f0d3d648f40020aeed5a69c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_d51a566d6db02ab1f238d84a2bb346a9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_2715725266cb9db616b8360ff17f0de3_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/4/110_2d01c085202599c6d7d6d423ce9266d4_234x360.jpg']",杭州前橙科技有限公司,https://www.wandoujia.com/apps/com.xianzaiyue.xyz/download/dot?ch=detail_normal_dl,  上门服务急速匹配  , 1.2.0
2345天气王,com.tianqi2345,生活休闲,65.6万人安装,14.74MB,https://android-artworks.25pp.com/fs08/2019/06/11/5/110_757ba08fe198d6ef5f53d30703b4debc_con_130x130.png,2345天气预报，权威预报15日天气情况和空气质量！提供全国3259个城市天气预报，31395万个乡镇天气，4864个国际城市天气预报，实时发布3218个城市空气质量指数， A股首家互联网上市公司“二三四五”荣誉出品！【7.1全新改版】天气数据全面升级，天气预报更准确、更及时！界面更美观，增加全新视觉特效，雨时垂钓江边，晴时扬帆远航，引入场景化动效。APP体量更轻盈：应用仅有12.9M，超省流量！运行更流畅，极致省电！数亿用户的明智选择！【权威预报天气 变化及时提醒】数据来源中国气象局，提供专业、科学的预报信息！全国天气趋势预报、早晚间天气提醒，让你知晴躲雨，做好出行准备；恶劣天气提前发布预警，从容应对各类突发天气状况；更有15日和40日超长天气预报，旅行农忙早规划 。【视频语音播天气 生活决策好帮手】每日同步更新央视最新天气预报视频，还有天气语音播报功能，直观了解近期天气趋势！32个维度详解天气预报，提供温度，湿度，风力，天气预警，空气质量，穿衣指数、钓鱼指数、感冒指数等多维度天气信息，全方位了解天气变化情况，是您生活决策好帮手！【新用户立领5元现金红包】2345天气预报，一款能赚钱的天气预报！每天看天气，随手就能领现金。新用户注册激活还送5元现金红包，直接能提现。不定期还有高额返现任务推出，惊喜无处不在。2345天气预报，知冷暖，报晴雨！更多新功能即将上线，敬请期待~如果您有任何问题和建议，请让我们听到您的声音~官方QQ群：493400677微信公众号：2345天气王（i2345tqw）,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/6/110_54271a91d84ad28c2d1dbf0f4f47a24d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_315986975f0d3d648f40020aeed5a69c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_d51a566d6db02ab1f238d84a2bb346a9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_2715725266cb9db616b8360ff17f0de3_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/4/110_2d01c085202599c6d7d6d423ce9266d4_234x360.jpg']",上海二三四五网络科技有限公司,https://www.wandoujia.com/apps/com.tianqi2345/download/dot?ch=detail_normal_dl,  精准预报15日天气！上市公司荣誉出品！  , 7.7
专业变声器,com.intotherain.voicechange,生活休闲,11.6万人安装,9.26MB,https://android-artworks.25pp.com/fs08/2019/06/10/4/110_7bb76602bdbb7b5592c8adb24f4d230f_con_130x130.png,这是一款变声神器，分分钟让你出尽风头，全员瞩目。专业的变声效果，秒变“萝莉”、“大叔”、“外国人”、“机器人”等，百变音效，随意切换。假如你是一名声音粗狂的抠脚大汉，用了它立马变成萌萝莉，和各种小哥哥、小姐姐变声聊天，好感度飙升，怎么聊都开心。有了这款神器，你就是一名演员，疯狂表演。你的声音扑朔迷离，你的身份琢磨不透，你的骚话让人意乱情迷。软件还自带了超强的录音功能，暂停、试听等。结巴的福音，怎么打岔停顿都不怕，让你录音时更加方便。自带的语音包功能，给你更多创造灵感，成套语音，一键发送，让你完美伪装，对答如流。悬浮窗功能，让你轻松实现微信、QQ等聊天软件中的变声，各种游戏中变声也是不在话下。更多好玩的功能等你来慢慢发掘。下面请开始你的表演！,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/6/110_54271a91d84ad28c2d1dbf0f4f47a24d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_315986975f0d3d648f40020aeed5a69c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_d51a566d6db02ab1f238d84a2bb346a9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_2715725266cb9db616b8360ff17f0de3_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/4/110_2d01c085202599c6d7d6d423ce9266d4_234x360.jpg']",广州市意想信息技术有限公司,https://www.wandoujia.com/apps/com.intotherain.voicechange/download/dot?ch=detail_normal_dl,  聊天变声萝莉音  , 1.9
4399在线玩,com.h4399.gamebox,生活休闲,15.2万人安装,8.46MB,https://android-artworks.25pp.com/fs08/2019/05/21/4/110_6d7c860977ccddab1d3c09446e2fc6cd_con_130x130.png,《4399在线玩》，是一款专注H5游戏的APP，精品游戏推荐、礼包、活动、社交一体化。【福利】手机页游超值礼包领取，用户签到领积分，活动抽奖天天有【海量更新】游戏、资讯、礼包、活动、热点话题【聊吧】游戏攻略、日常互动交流、游戏圈讨论求助【社交】关注好友，游戏动态一手掌握，个人风采展示【合辑】用户自定义分享游戏集，资深玩家强力推荐。- 关注好友，游戏动态一手掌握，互动贴近你我~- 签到领积分：连续每天签到可获取更多积分。还可参与活动抽奖，话不多说，签到走起~- 参与活动赢大奖，天天放送。- 超值礼包领取：游戏好玩，更新快，还有超级礼包领取，游戏升级打怪，那都不是事儿！领取礼包兑换装备，带你开启开挂模式！- 游戏之余，“聊吧”任你侃大山：游戏不只是升级打怪，边游戏便分享。不管是游戏攻略、日常互动交流，还是身边的笑话段子，都可以在这里与大家分享。,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/6/110_54271a91d84ad28c2d1dbf0f4f47a24d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_315986975f0d3d648f40020aeed5a69c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_d51a566d6db02ab1f238d84a2bb346a9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_2715725266cb9db616b8360ff17f0de3_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/4/110_2d01c085202599c6d7d6d423ce9266d4_234x360.jpg']",厦门纯游互动科技有限公司,https://www.wandoujia.com/apps/com.h4399.gamebox/download/dot?ch=detail_normal_dl,  手机游戏无需下载  , 2.0.0.2
家常菜,cn.ecook.jiachangcai,生活休闲,4275人安装,11.51MB,https://android-artworks.25pp.com/fs08/2019/06/06/0/2_3a725f54d28165062205b1166e47042b_con_130x130.png,这里主要包括每日推荐、午餐食谱、晚餐食谱、饮食健康、美食达人、各地美食、早餐食谱、自创菜等模块、早餐食谱模块，分为营养早餐、创意早餐、儿童早餐为客户推荐美味营养的早餐套餐及做法。在您可以在美丽的早晨享受着美食。,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/6/110_54271a91d84ad28c2d1dbf0f4f47a24d_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_315986975f0d3d648f40020aeed5a69c_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_d51a566d6db02ab1f238d84a2bb346a9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_2715725266cb9db616b8360ff17f0de3_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/4/110_2d01c085202599c6d7d6d423ce9266d4_234x360.jpg']",杭州魔厨科技有限公司,https://www.wandoujia.com/apps/cn.ecook.jiachangcai/download/dot?ch=detail_normal_dl,  菜谱大全简单好用  , 5.1.7
全国违章查询,cn.mucang.xiaomi.android.wz,生活休闲,8万人安装,34.04MB,https://android-artworks.25pp.com/fs08/2019/05/28/6/110_f0cfade828cfa000d6f4786070185298_con_130x130.png,全国违章查询，全新界面，升级查违章引擎，直接连接交管局数据库，让您查违章更快更准。全国违章查询，是木仓科技为全国6亿车主研发的一款机动车违章查询软件，已累计为2亿车主提供实时的车辆违章查询、违章高发地预警、油价提醒等服务。车辆违章数据与交管局实时对接，违章查询只需一秒，支持360个城市免费查违章。联合交通部官方用户五年出行记录，统计分析出违章高发地预警，为车主出行、异地旅游、自驾游提供便利。同时也是出行、神州专车、嘀嗒拼车等专车司机违章查询工具。避免交通违章，随心出行，车轮上随时随地查违章！ 【全国违章查询产品特点】1、违章查询：覆盖全国个城市，车辆违章查询与交管局实时对接，保证违章数据的准确、专业、安全。2、违章高发地：违章高发地提前预警，远离违章。3、异地查询：支持同时多车辆多城市违章查询，异地出游自驾行更放心。4、体验便捷快速：违章详情一键刷新，清晰了解事发地点。5、汽车资讯：提供全新的汽车资讯，帮您懂车、爱车、玩车。6、天气推送：实时提醒天气指数，提示车主是否适宜洗车。7、空气推送：每日提示空气质量，PM2.5 提示您通风、是否合适出行等。8、社区论坛：违章车友圈是车主交流、提问、答疑、有奖互动的乐园。 【团队宗旨】承诺：绝不向第三方泄露任何违章信息坚持：团队承诺免费使用，绝不收取费用保证：程序员24小时待命，保证一秒知违章 【联系我们】家族产品：驾考宝典、车友头条、买车宝典官方网站：www.mucang.cn商务合作: app@mucang.cn,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_81c9f8978c24ac49a9492bf1cbec2dd9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_1b6637ef0458eb76be518ea47d230fc6_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/6/110_2ec064fc1255461892d648f8b9e14ea4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/9/110_f6094c43d3fc7a49e76a01b4a3f3c74e_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_831e4770e7dc31b34ecd7f31cf42b28b_234x360.jpg']",北京木仓科技股份有限公司,https://www.wandoujia.com/apps/cn.mucang.xiaomi.android.wz/download/dot?ch=detail_normal_dl,  车辆违章克星，8000万车友出行必备  , 7.6.8
计算器,com.youba.calculate,生活休闲,12.5万人安装,1.45MB,https://android-artworks.25pp.com/fs08/2017/05/04/4/110_9c21eee2666f2e28c643a1b621fd1b6e_con_130x130.png,IOS计算器/iPhone计算器。苹果计算器是极简设计的一款计算器。在IOS7之前使用的拟物计算器，其原型是1987年Braun公司旗下的ET66型计算器，出自传奇艺术家Dieter Rams之手，非常经典。之前联图开发组将其移植到安卓中受到很多用户喜爱。时隔多年，我们跟随时代脚步将当年的这款精仿版升级成IOS新的扁平风格。,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_81c9f8978c24ac49a9492bf1cbec2dd9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_1b6637ef0458eb76be518ea47d230fc6_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/6/110_2ec064fc1255461892d648f8b9e14ea4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/9/110_f6094c43d3fc7a49e76a01b4a3f3c74e_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_831e4770e7dc31b34ecd7f31cf42b28b_234x360.jpg']",厦门市漫游科技有限公司,https://www.wandoujia.com/apps/com.youba.calculate/download/dot?ch=detail_normal_dl,  极简风格的计算器  , 2.0.6
闲鱼,com.taobao.idlefish,生活休闲,97.1万人安装,54.36MB,https://android-artworks.25pp.com/fs08/2019/05/23/8/110_c404280ec20a458ea1d174e63c0f923e_con_130x130.png,"闲鱼是阿里巴巴集团旗下APP,闲置能赚钱买卖闲置，就用闲鱼！无须开店却能享受支付宝担保交易，仅需30秒即可发布一款宝贝。没有金刚钻，还真不敢揽这瓷器活儿！-支付宝担保的个人交易平台：更诚信，更安全！-淘宝已买到宝贝，随时随地一键转卖，立即变现。-淘宝上亿买家都可以看到你的宝贝，商品更容易被卖出！（这个比较屌）-卖家发布更简单，语音描述，扫条码更轻松他们都在，就缺你啦！许多妈妈在这儿，转卖孩子们用不着的玩具、物品，同时也在这里交流着养儿育儿的心得经验，这些东西她们给自己孩子用过，所以，你放心！许多达人混迹于此，倒腾古书、镜头、模型、限量版篮球鞋等等，他们在这儿不仅转卖闲置，还结交到了同好朋友！在新品市场找不到的，也许你可以在这试试！最爱这儿的还是剁手党's，那些对他们没新鲜感，或者不再爱的物件儿，都能在这儿找到新的主人，节省空间的同时还能有笔小收入。物尽其用，正是这个道理！联系我们&意见反馈：邮箱：taobao-fleamarket-client@list.alibaba-inc.com~闲鱼是阿里巴巴集团旗下APP,闲置能赚钱买卖闲置，就用闲鱼！上闲鱼，闲置能赚钱！无须开店却能享受支付宝担保交易，仅需30秒即可发布一款宝贝。-支付宝担保的个人交易平台：更诚信，更安全！-淘宝已买到宝贝，随时随地一键转卖，立即变现。许多妈妈在这儿，转卖孩子们用不着的玩具、物品；同时也能交流养儿育儿的经验。这些东西因为用过，所以放心！许多达人混迹于此，倒腾邮票、二次元手办、镜头、模型、限量版篮球鞋等等，因为兴趣还能结交到同好朋友！剁手党们，出手闲置，卖旧换新，节省空间的同时还能有笔小收入。闲鱼，让你的闲置游起来！联系我们&意见反馈：邮箱：taobao-fleamarket-client@list.alibaba-inc.com","['https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_81c9f8978c24ac49a9492bf1cbec2dd9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_1b6637ef0458eb76be518ea47d230fc6_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/6/110_2ec064fc1255461892d648f8b9e14ea4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/9/110_f6094c43d3fc7a49e76a01b4a3f3c74e_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_831e4770e7dc31b34ecd7f31cf42b28b_234x360.jpg']",淘宝二手,https://www.wandoujia.com/apps/com.taobao.idlefish/download/dot?ch=detail_normal_dl,  让你的闲置游起来  , 6.4.60
同城招聘-好工作就在附近,in.weilai,生活休闲,3.5万人安装,28.63MB,https://android-artworks.25pp.com/fs08/2019/05/27/11/110_e8ed0c144290cf8c1001bf1f3b5e197b_con_130x130.png,【能找工作、挣赏金的求职神器，每天还可抢红包】【同城高薪好工作，优质企业扎堆招人】找工作真是一件让人头痛的事情。大公司门槛高、小公司又不靠谱。黑中介横行，求职也变得提心吊胆。辞职在家，没有钱的日子，一顿贵点的外卖都不敢点。面对这些难题，也许你该试试这块软件。在这里，优质大牌企业多到爆炸，黑中介基本无生存空间。邀请好友找工作，你还可拿几千元赏金，顿顿吃鸡腿不是问题。平台每天还会抽出几百元的现金红包，参与就中奖，比集五福更靠谱。【更快速】全国首创面试会形式，当天报名、当天面试，彻底告别行李拖拽满街跑的求职窘境。【更丰富】覆盖全国300个城市，每周10万条高薪职位，全职、兼职、实习岗，你想要的都有。【更真实】所有信息100%人工审核，真实可靠，消灭黑中介和虚假职位。【更好玩】邀请好友找工作，可以获得800-10000元不等的赏金。平台每天还会送出千元现金红包，任何人都可参与。【用户评论】@凌晨四点半 版面设计挺清晰的，一目了然。上面有不少大公司在招人，小中介没有遇到过，感觉让人蛮踏实的，期待做得更好。【联系我们】如果您有意见或者建议，欢迎联系我们：官方网站：www.meichai.in微信小助手：zhhsmei产品经理邮箱：zhouhan@meichai.in,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_81c9f8978c24ac49a9492bf1cbec2dd9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_1b6637ef0458eb76be518ea47d230fc6_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/6/110_2ec064fc1255461892d648f8b9e14ea4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/9/110_f6094c43d3fc7a49e76a01b4a3f3c74e_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_831e4770e7dc31b34ecd7f31cf42b28b_234x360.jpg']",上海美差网络科技有限公司,https://www.wandoujia.com/apps/in.weilai/download/dot?ch=detail_normal_dl,  求职招聘神器  , 5.9.3
手电筒,com.devuni.flashlight,生活休闲,10.8万人安装,3.87MB,https://android-artworks.25pp.com/fs08/2019/06/10/8/2_e4d68a601da3b357e649ac417c9e52b0_con_130x130.png,轻便app的手电筒程序！令人难以置信地简单，迅雷之势快速开启照明，非常有用的手电筒程序。将使用您的设备相机LED/闪光灯/屏幕作为手电筒。微型手电筒是目前安卓市场上好用LED手电筒应用程序。 ,"['https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_81c9f8978c24ac49a9492bf1cbec2dd9_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/10/110_1b6637ef0458eb76be518ea47d230fc6_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/6/110_2ec064fc1255461892d648f8b9e14ea4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/9/110_f6094c43d3fc7a49e76a01b4a3f3c74e_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/06/12/5/110_831e4770e7dc31b34ecd7f31cf42b28b_234x360.jpg']",北京重力无限科技有限公司,https://www.wandoujia.com/apps/com.devuni.flashlight/download/dot?ch=detail_normal_dl,  功能非常强大的第三方手电筒应用  , 10.10.15
瓜子二手车,com.ganji.android.haoche_c,生活休闲,14.7万人安装,26.56MB,https://android-artworks.25pp.com/fs08/2019/06/12/0/106_08461e008e5939352bbdeafe70aca880_con_130x130.png,【瓜子二手车直卖网】国内领先个人二手车交易平 台！买卖二手车，上瓜子二手车直卖网！,"['https://android-screenimgs.25pp.com/fs08/2019/05/27/6/110_2f0dd3bbfdbff6ed2fe3ea124bd913a4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/27/3/110_58ef6b247c1b859ca3e2378d35c77969_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/27/6/110_6fd66cad339d187aa9c57419c29b882e_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/27/7/110_3374d3c4d133fd465e7758b11b633fa0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/27/7/110_0d0ea5c8dd7304b1498cf2238fd9df1a_234x360.jpg']",金瓜子科技发展（北京）有限公司,https://www.wandoujia.com/apps/com.ganji.android.haoche_c/download/dot?ch=detail_normal_dl,  赶集出品，最靠谱的二手车交易平台！  , 5.4.1.1
空调万能遥控器,tv.c4e2d.v57a407c,生活休闲,7万人安装,3.81MB,https://android-artworks.25pp.com/fs08/2019/02/22/1/110_3b378f4d865789fb3dbf837225179c9e_con_130x130.png,空调万能遥控器一键红外遥控，变成你随身携带的智能空调遥控器APP，不管是在家里、酒店、餐馆、亲戚朋友家里，你能随时智能遥控空调，支持自动识别您的空调型号--美的空调、志高空调、格力空调、海尔空调、奥克斯空调、长虹空调、海信空调以及其他众多品牌遥控器，全智能适配三星、小米、华为、 OPPO、联想、vivo、魅族、HTC、TCL等品牌旗下的红外手机，让您轻松遥控家里的所有的空调遥控，再也不用担心遥控器没电或者丢失，空调遥控器APP帮您搞定！手机遥控空调，智慧生活重新开始！,"['https://android-screenimgs.25pp.com/fs08/2019/05/27/6/110_2f0dd3bbfdbff6ed2fe3ea124bd913a4_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/27/3/110_58ef6b247c1b859ca3e2378d35c77969_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/27/6/110_6fd66cad339d187aa9c57419c29b882e_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/27/7/110_3374d3c4d133fd465e7758b11b633fa0_234x360.jpg', 'https://android-screenimgs.25pp.com/fs08/2019/05/27/7/110_0d0ea5c8dd7304b1498cf2238fd9df1a_234x360.jpg']",曲靖开发区思远网络科技有限公司,https://www.wandoujia.com/apps/tv.c4e2d.v57a407c/download/dot?ch=detail_normal_dl,  一键红外遥控  , 5.0
